Re,Im
0.833279237628753,0.0
1.2179908671146208e-16,1.1083392313849655e-16
-2.9871915127277486e-17,-5.099845571279274e-18
-2.2442098676820966e-17,-7.174981808294186e-17
-0.0016675788752225818,-0.014170023033897645
-0.16582831244465057,-4.539893513012785e-05
1.7476755955310625e-16,-1.0598399009899069e-16
-0.00812900006495295,-0.065197638289626
0.0025013382964132647,0.020421500252803065
0.0025013382964149808,0.020421500252803093
1.4476093062753001e-16,9.224066329851893e-17
-2.3235403598383555e-16,-7.955219924683819e-17
-0.12633132226741112,0.002462056824981962
-4.131733585184802e-17,-8.280266623117063e-17
0.01343070714245052,0.047501326204790306
-0.00039907447549682753,-0.001694676789700877
-0.12084689905727435,0.0022483955784832065
1.1942010644763207e-16,1.3739496160110044e-16
-5.187018600207649e-17,9.796007943144772e-17
0.007204312240310529,0.025517188799677994
-0.1423526588156869,0.0004301176670481493
0.002306256103732266,0.008680817658209765
-0.14753415958541716,0.0003225766024873392
3.3797618404502626e-17,-2.62626788265581e-16
0.001134663763741094,0.043645394618420846
-1.0903192183536398e-16,-1.0297372526500433e-16
-0.003798050425921103,-0.015101320415593408
-0.006198541107177145,-0.023481025555065118
-0.15771953634486924,0.00015083350526570402
5.78583915255e-06,0.0060499811822316545
-0.006345584064686559,-0.05038902953513488
3.41756297779585e-17,-8.135445018856423e-17
-8.879408756453271e-19,-3.0753447345626937e-17
1.436244994607962e-17,-2.4693221801453354e-17
1.2179908671146208e-16,-1.1083392313849655e-16
4.440892098500626e-16,0.0
3.537200852916323e-16,-6.04299699651916e-17
6.896259419134239e-17,2.7261081633274524e-17
4.146792017630911e-16,-9.58787223830832e-17
-6.312036081505609e-17,1.1006640100398328e-16
-9.242839984755407e-17,-5.324880839263591e-17
1.4969370707549163e-16,7.395781565643523e-18
-1.7192618884067607e-16,-1.2824624655935023e-16
-2.4131719321462535e-16,-3.9677163298268544e-17
8.011178409264423e-17,-6.245069092157334e-17
8.05756212814106e-17,-5.529799857910223e-17
-1.4310045983054113e-17,-1.3842258398226499e-17
3.176798690689886e-17,-8.740720035539242e-18
-4.6792747195065296e-17,2.6472805210233738e-17
-7.434859435373911e-17,7.975627717571077e-18
-1.2568724283129758e-17,-3.350727970300133e-18
-8.503114715080603e-17,1.3528111993317553e-17
2.2105196971437166e-17,7.062846337433682e-19
-4.215546502579641e-17,1.4254249345239778e-17
-1.6610083127237555e-17,-1.6439897774607198e-17
1.5704863942844577e-17,2.567365849648974e-18
-1.8329213652199678e-17,-2.985441127077428e-17
-2.444971782988563e-17,-4.044106478632443e-18
8.620127494205304e-17,2.1083347623344538e-17
4.5823849122955585e-18,1.4705561750683437e-18
