Re,Im
0.8889651285782367,0.0
-1.8136782622678284e-17,-1.4111039199351057e-16
-0.039516216210166745,-0.1509334017528926
-0.0003216032400456774,-0.001495749601179709
-0.10621268493087604,-9.381166648678814e-05
1.4680375952794798e-16,-1.8914177856235324e-16
1.7956233257846226e-17,9.879639586040753e-17
0.005892674151531858,0.022542357864356335
-0.06883129034530064,-0.0011334051643491524
0.0061356636246154075,0.025052144647102273
-0.006735296290239493,-0.026059769280795432
-0.08261693941392559,-0.0014294131521880883
-1.8252120915017985e-16,2.106254011058719e-17
-0.00012976946464477427,-0.019948732818144573
1.1392024024380825e-16,-1.645321748918152e-16
0.01107197907138616,0.04795473663309069
-0.01648250050200888,-0.06776213670402564
-0.0794536950304596,-0.0014724518672739008
-0.0013593291957836552,-0.011608104611041508
0.0024502471075141053,0.023075837428563308
-1.1162182694254347e-16,-9.458861079588981e-18
-6.207027489230222e-17,5.1671476224646e-17
1.8328966458606169e-16,-1.3465069053821532e-16
-0.05064314044299085,-0.0007891696851101893
2.0243595362920307e-17,1.434640706724567e-16
-0.010727384422438946,-0.043744385622667484
0.0007743635906294419,0.003895923850920204
-0.06411003188287062,-0.0010556629239128305
8.431286522519333e-17,5.2189651781957706e-17
1.2519480495011038e-16,-1.5815583481625758e-16
0.006687136792297296,0.02898447836981531
-0.014385276130484674,-0.05875755453221405
-0.04229122235882713,-0.001355755187536656
0.0005946207728117878,0.002602725291527655
-0.04382929855196958,-0.001441699794877065
-1.0362003049947119e-16,7.909455253795641e-17
9.456330537377866e-05,-0.010418035233797229
-5.3597955679709306e-17,1.7493268339546441e-16
0.0029802059713420165,0.013891846039769127
-0.0015966082072136306,-0.0070397821505995255
-0.0780750887770314,-0.0013924738716843846
0.00039724197871968944,0.004077096649823377
2.454893101455196e-17,6.719659584525784e-17
-6.711398387970395e-17,-7.954685337091783e-18
-0.00013295466751267135,-0.0013343586894094235
-0.07812957846204563,-0.0014148421970519001
5.5043778759075075e-17,-8.516452781332945e-17
0.00020082615837176804,0.0019232103649844073
0.0002008261583717682,0.0019232103649844073
-3.091696862966751e-17,-6.814808281844692e-17
-3.091696862966751e-17,-6.814808281844692e-17
-0.04218406632199223,-0.001439531653660962
-0.0007818906380116981,-0.008504896996393207
0.0010917152052120108,0.012069852473252866
4.218602203576628e-17,-6.977015814592104e-17
-1.1613820468672496e-17,2.4003975385053172e-17
-7.176825338741394e-17,3.334274531202614e-17
-0.04066274347676011,-0.0013214882647420913
3.48715613778675e-17,5.454643437878705e-17
1.6827214755106603e-17,-6.496179022457585e-17
-2.2294671106368543e-17,7.43890825614366e-19
5.890319914806006e-05,0.0006941198958073658
-0.04081441071865546,-0.0013376029514608197
8.128214624467767e-17,-3.1051972429639237e-17
-8.967522672926482e-05,-0.0010005046060762774
-8.967522672931769e-05,-0.0010005046060760883
8.755569859620324e-05,0.0010627793180562504
8.755569859632682e-05,0.0010627793180561728
-1.8136782622678284e-17,1.4111039199351057e-16
2.220446049250313e-16,0.0
-2.338543494722676e-16,-8.52252309155674e-17
-9.494832564484959e-17,-2.224477633563393e-18
-1.353916459842153e-16,6.462325569084696e-18
1.7836539215678375e-16,1.116387147584042e-16
1.6053993258944238e-16,1.148199761467818e-16
2.3020882975976716e-16,-2.841696700276977e-17
-1.2354020951110399e-17,-4.1135062286755764e-17
4.538965271657895e-18,1.3024660457258095e-17
-7.353999381314221e-18,7.092659567935219e-17
3.4347678570344e-17,-2.2955672332881248e-18
